0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w31_r09_c08	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r09_c09	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r10_c01			4			20190415_D	sent to BICEP 20190422	no modulation - switch doesn't turn ON		
w31_r10_c02		x				20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r10_c03	x					20190415_D	sent to BICEP 20190422			
w31_r10_c04							DM Radio			
w31_r10_c05	x					20190409_C	sent to BICEP 20190422			
w31_r10_c06				3		20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	slightly low Ic,max		
w31_r10_c07				6		20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	slightly low Ic,max		
w31_r10_c08		x				20190415_D	DM Radio - dip probe			
w31_r11_c00	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r11_c01	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r11_c02				2		20190415_D	sent to BICEP 20190422	high ic,min and ic,max - abnormal IbIs		
w31_r11_c03	x					20190415_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r11_c04		x				20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r11_c05	x					20190415_D	sent to BICEP 20190422			
w31_r11_c06	x					20190415_D	sent to BICEP 20190422			
w31_r11_c07	x					20190415_D	sent to BICEP 20190422			
w31_r11_c08	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r11_c09	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r12_c00	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r12_c01	x					20190415_D	sent to BICEP 20190422			
w31_r12_c02		x				20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r12_c03				2		20190415_D	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"	abnormal Ic - should recheck by hand		
w31_r12_c04	x					20190415_D	sent to BICEP 20190422			
w31_r12_c05	x					20190415_D	sent to BICEP 20190422			
w31_r12_c06	x					20190415_D	sent to BICEP 20190422			
w31_r12_c07	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r12_c08	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r12_c09	x					20190415_D	sent to BICEP 20190422			
w31_r13_c00	x					20190415_D	sent to BICEP 20190422			
w31_r13_c01	x					20190415_D	sent to BICEP 20190422			
w31_r13_c02	x					20190415_D	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r13_c03			10			20190415_D	sent to BICEP 20190422	excessive noise on vPhi (might just be unlucky)		
w31_r13_c04	x					20190409_C	sent to BICEP 20190422			
w31_r13_c05	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r13_c06	x					20190409_C	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r13_c07	x					20190409_C	sent to BICEP 20190422			
